type,input,output,A,B,C,D,E
pharm,가수분해 되어 피부와 점막에 자극작용을 나타내는 개자(芥子) 의 성분은?,Choice 5,capsaicin,gingerol,sanshool,shogaol,sinigrin
doctor,초등학교 4학년 여아가 1개월 전부터 배가 아프다며 조퇴하고 학교에 가지 않으려 했다. 학교에서는 수시로 엄마에게 문자를 보내고 전화를 했다. 집에서는 잘 지내다가도 아빠가 오실 때면 안절부절 못하고 엄마와 함께 자려고 했다. 진단은?,Choice 2,학습장애,분리불안장애,선택적함구증,반응성애착장애,주의력결핍과다활동장애
nurse,건강하던 영아가 구토를 하며 심하게 울다가 진정하다를 반복한다. 우상복부에서 소시지 모양의 덩어리가 촉진되었다면 우선적인 중재는?,Choice 1,금식을 시킨다.,복부를 마사지한다.,진정제를 투여한다.,비위관영양을 실시한다.,글리세린관장을 실시한다.
doctor,"의사는 진료기록부에 환자의 주된 증상, 진단 및 치료 내용 등 의료행위에 관한 사항과 의견을 상세히 기록하고 서명하여야 한다. 진료기록부 작성 ∙ 보존과 관련하여 옳은 것은?",Choice 2,5년 동안 보존하여야 함,한글로 기록하도록 노력하여야 함,진료를 받은 사람의 주민등록번호는 기재하지 않음,전자서명이 기재된 전자문서로 작성 ∙ 보존할 수 없음,추가 기재 ∙ 수정된 경우 추가 기재 ∙ 수정 전의 원본은 보존이 불필요함
pharmacy,"다음에서 설명하는 곰팡이 독소는?
Aspergillus versicolor 곰팡이의 대사산물임
간에서 대사되어 생성되는 epoxide체가 DNA와 공유결합을 형성함
만성 노출에 의한 중독 시 간장애를 유발함",Choice 4,citreoviridin,ochratoxin A,patulin,sterigmatocystin,zearalenone
pharm,"반하, 복령, 후박, 생강, 자소엽으로 구성되어, 기분이 우울하고 인후, 식도부위에 이물감이 있고, 때로는 숨참, 어지러움, 구역 등을 동반하는 불안신경증이나 신경성 위염에 사용하는 한약제제는?",Choice 3,가미온담탕(加味溫膽湯),반하사심탕(半夏瀉心湯),반하후박탕(半夏厚朴湯),보중익기탕(補中益氣湯),십전대보탕(十全大補湯)
pharm,결핵균 일차 감염 후 3～6주 사이에 T 세포에서 분비되어 대식세포를 활성화하는 것은?,Choice 1,IFN- γ,IL- 10,IL- 12,TGF- β,TNF- α
doctor,"36세 남자가 5개월 전부터 초조하고 불안하다며 병원에 왔다. 당시 새 아파트로 이사를 갔는데, 아래층 사람이 수시로 올라와 층간 소음 때문에 괴롭다고 항의를 하였다. 이후로 또 항의를 받을까 걱정되어 신경이 과민해지고 안절부절못하게 되었고, 최근에는 차라리 이사가는 것을 고민할 정도라고 한다. 진단은?",Choice 2,강박장애,적응장애,범불안장애,급성스트레스장애,외상후스트레스장애
dentist,약물 알레르기에 의한 약물유해효과는?,Choice 4,와파린에 의한 출혈,모르핀에 의한 호흡수 감소,노르에피네프린에 의한 서맥,페니실린에 의한 기관지 수축,아이소나이아지드에 의한 말초신경염
dentist,"하악골 발생과 관련하여 다음이 설명하는 연골은?
발생 12주 동안에 처음 출현한다.
발생 중인 하악지의 대부분을 차지하는 원추 또는 당근 모양의 덩이로 급속히 커진다.
연골속뼈형성에 의해 뼈로 신속히 전환된다.
10대 후반까지 존속하며 하악골 성장에 중요한 역할을 한다.",Choice 3,멕켈연골(Meckel's carilage),뼈끝연골(epiphyseal cartilage),관절돌기연골(condylar cartilage),근육돌기연골(coronoid cartilage),섬유연골결합연골(symphyseal cartilage)
doctor,식품매개감염병 관리에서 가장 효과적인 방법은?,Choice 4,예방접종,병원소 제거,환자 조기발견,전파과정 차단,예방적 항생제 투여
doctor,"17세 남자가 8월 중순경 점심시간에 운동장에서 축구를 하던 중 두통, 구역, 구토, 어지럼으로 보건실로 왔다. 혈압 110/90 mmHg, 맥박 104회/분, 호흡 20회/분, 체온 38.5℃이다. 의식은 뚜렷하며 혀는 말라있고, 피부는 땀으로 축축하다. 처치는?",Choice 5,해열제를 경구투여함,겨드랑에 얼음팩을 댐,얼음물 욕조에 몸을 담금,온몸에 물을 뿌리고 선풍기를 틂,시원한 곳에서 휴식과 수분을 보충함
nurse,심정지 성인환자에게 수행하는 가슴압박 방법으로 옳은 것은?,Choice 3,가슴압박의 깊이는 4 cm 이내로 유지한다.,구조자의 팔은 환자의 상체와 45°를 유지한다.,가슴압박의 속도는 분당 100～120회를 유지한다.,흉골의 중심부보다 위쪽에 구조자의 손을 놓는다.,압박 후 가슴이 정상 위치로 올라오기 전에 다시 압박한다.
doctor,65세 남자가 아랫배가 아파서 병원에 왔다. 2년 전에 발생한 뇌경색증으로 오른쪽 반신불완전마비상태였다. 두덩뼈(pubic bone) 위쪽으로 둥글고 팽팽한 덩이가 만져졌고 타진에서 둔탁음이 들렸다.다음 조치는?,Choice 3,덩이천자,직장손가락검사,요로카테터 삽입,직장초음파검사,구불창자내시경검사
pharm,약물감시(pharmacovigilance) 에 해당하는 것은?,Choice 2,시험 ∙ 검사기관을 대상으로 숙련도 평가를 실시한다.,의약품 사용 중 발생한 이상사례를 수집하고 분석한다.,마약류통합관리시스템을 통해 마약류 사용 실태를 점검한다.,의약품 제조과정에서 품질기준을 준수하고 있는지를 감시한다.,세균백신제제 등에 대해 매 제조단위별로 품질검사를 실시한다.
pharm,외감병이 진행되는 과정에서 나타나는 각종 증후들을 음(陰) 과 양(陽) 으로 변별한 후 이를 삼음(三陰) 과 삼양(三陽) 으로 나누어 변증하는 방법은?,Choice 3,병인변증(病因辨證),삼초변증(三焦辨證),육경변증(六經辨證),기혈진액변증(氣血津液辨證),위기영혈변증(衛氣營血辨證)
doctor,"56세 남자가 양쪽 다리가 부어서 병원에 왔다. 2주 전 운전 중 교통사고가 났고 가슴에 타박상을 입었다. 5일 전부터 다리가 붓기 시작하였다. 혈압 130/78 mmHg, 맥박 70회/분, 호흡 18회/분, 체온 36.4℃이다. 복장뼈 위에서 심장박동이 뚜렷하게 촉지되고, 왼쪽 복장뼈 옆 4번째 갈비사이공간에서 4/6도의 수축기 심잡음이 들린다. 심잡음은 숨을 들이쉴 때 커지고, 내쉬면 작아진다. 양쪽 다리에서 오목부종이 관찰된다. 진단은?",Choice 1,삼첨판역류,승모판역류,승모판협착,대동맥판역류,대동맥판협착
dentist,일차적으로 항생제 투여가 필요한 질환은?,Choice 3,수두(varicella),볼거리(mumps),성홍열(scarlet fever),헤르페스목구멍염(herpangina),전염성단핵구증(infectious mononucleosis)
nurse,정맥 주입 중인 환자가 바늘삽입 부위에 부종과 통증을 호소할 때 간호중재로 옳은 것은?,Choice 5,주사부위를 높여 주입한다.,투여 중인 수액까지는 주입한다.,주사부위에 따뜻한 찜질을 해 준다.,생리식염수로 주사부위를 세척한다.,주입을 중단하고 주삿바늘을 제거한다.
pharmacy,「약사법」상 약국개설자와 의료기관 개설자에게 금지되는 담합행위나 담합의 소지가 있는 행위에 해당하지 않는 것은?,Choice 4,약국개설자가 직접 의료기관 개설자에게 처방전 알선의 대가로 노무를 제공하는 행위,약국개설자가 제3자를 통하여 다른 약국개설자로부터 처방전 알선의 대가로 편익을 받는 행위,약국개설자가 「국민건강보험법」에 따른 요양급여비용에 대한 의료기관 개설자의 심사청구업무를 관리하는 행위,의료기관 개설자가 처방전 소지자의 요구에 따라 특정 약국개설자에게 컴퓨터통신을 이용하여 처방전을 전송하는 행위,의사회 분회가 약사회 분회에 제공한 처방의약품 목록에 포함되어 있는 의약품과 같은 성분의 다른 품목을 반복하여 처방한 처방전에 따라 약사가 조제하는 행위
pharm,점안제를 눈물과 등장으로 제조하는 주된 목적은?,Choice 2,점성 증가,자극성 경감,작용시간 연장,보존기간 연장,생체이용률 향상
doctor,"55세 여자가 2일 전부터 열이 난다며 병원에 왔다. 며칠 전부터 평소보다 소변을 자주 본다고 한다. 1개월 전에도 비슷한 증상이 있었다고 한다. 혈압 130/80 mmHg, 맥박 105회/분, 호흡 18회/분, 체온 38.5℃이다. 왼쪽 갈비척추각에 압통이 있다. 소변검사 결과는 다음과 같다. 가능성이 높은 원인미생물은?백혈구 10～20/고배율시야, 적혈구 0～5/고배율시야",Choice 1,대장균(Escherichia coli ),창자알균(Enterococcus faecalis),프로테우스미라빌리스(Proteus mirabilis),우레아플라스마우레알리티쿰(Ureaplasma urealyticum ),스타필로코쿠스사프로피티쿠스(Staphylococcus saprophyticus)
nurse,기관지천식 환자에게 테오필린을 투여할 때 주의 깊게 사정해야 할 부작용은?,Choice 2,기침,부정맥,저혈당,체중 증가,구강 건조
pharm,"건조수산화알루미늄겔을 정량할 때, 0.05 mol/L EDTA 1 mL에대응하는 Al2O3(분자량 102) 의 양(mg) 은?",Choice 3,2.55×10^-3,5.10×10^-3,2.55,5.10,10.2
doctor,"33세 남자가 왼쪽 다리가 아파서 왔다. 약 1년 전부터 걸으면 종아리에 통증이 있었으며 최근에는
가만히 있어도 통증을 느낀다고 하였다. 15년간 하루 한 갑의 담배를 피워왔으며 당뇨병, 고혈압은
없었다. 왼쪽 종아리는 오른쪽에 비해 가늘어져 있었고 차갑게 느껴졌다. 양쪽 넙다리동맥, 오금동맥
맥박은 잘 만져졌으나 왼쪽 발등동맥, 뒤정강동맥 맥박은 만져지지 않았다. 진단은?",Choice 4,레이노병(Raynaud's disease),결절동맥주위염(periarteritis nodosa),거대세포동맥염(giant cell arteritis),폐쇄혈전혈관염(thromboangiitis obliterans),혈전색전증(thromboembolism)
pharm,56세 여자가 4년 전 2형당뇨병을 진단받고 메트포르민(metformin) 과 리나글립틴(linagliptin) 을 복용하면서 혈당을 잘 조절해 왔다. 최근 검사 결과 당화혈색소 수치가 8.2% 로 상승되어 인슐린(insulin) 을 추가하려 한다. 적절한 것은?,Choice 2,레귤러 인슐린(regular insulin),인슐린 글라진(insulin glargine),인슐린 아스파트(insulin aspart),인슐린 글루리신(insulin glulisine),인슐린 라이스프로(insulin lispro)
pharm,중등도의 지속성 천식이 있어 중간용량 스테로이드 흡입제를 사용 중인 26세 여자가 알레르기비염을 진단받았다. 환자의 알레르기비염 증상을 치료하기에 적절한 약은?,Choice 4,밤부테롤(bambuterol) 정제,툴로부테롤(tulobuterol) 패치제,아클리디늄(aclidinium) 흡입제,프란루카스트(pranlukast) 정제,슈도에페드린(pseudoephedrine) 정제
doctor,"12세 남아가 아몬드가 섞인 샐러드를 먹은 뒤에 숨이 차서 응급실에 왔다. 2년 전부터 견과류를 먹으면 전신에 발진이 나타나면서 배가 아프고 숨이 찼다. 호흡 34회/분, 혈압 80/50 mmHg, 체온은 36.8℃이다. 응급처치를 한 후에 회복되었다. 항상 휴대해야 할 응급약은?",Choice 3,시메티딘,부데소니드,에피네프린,디펜히드라민,몬테루카스트
dentist,"구강 단계에서, 유아기 연하와 성숙 연하 양식에 관한 설명으로 옳은 것은?",Choice 5,유아기 연하 시 하악골은 후방으로 이동한다.,유아기 연하 시 혀는 구개에 근접하거나 구개와 가볍게 접촉한다.,성숙 연하 시 치아가 접촉하지 않는다.,성숙 연하 시 입술과 안면 근육이 수축한다.,성숙 연하와 유아기 연하는 각각 다른 신경의 제어를 받는다.
nurse,경골(tibia) 의 개방성 골절로 다량의 출혈이 있는 환자에게 우선적인 응급처치는?,Choice 5,석고붕대 적용,대퇴동맥의 맥박 확인,양팔을 부축하여 이동,골절된 뼈의 선열 재배치,골절부위 상부의 압박 지혈
pharm,Buprenorphine(μ-아편수용체 부분효능약) 과 morphine(μ-아편수용체 완전효능약) 을 각각 최대효능을 나타내는 치료용량으로 병용투여 할 경우 나타나는 효과에 대한 설명으로 옳은 것은?,Choice 5,Morphine의 진통효과만 나타난다.,두 약물의 진통효과가 상가(addition) 된다.,두 약물의 진통효과가 나타나지 않는다.,Morphine의 진통효과가 상승(synergism) 된다.,Morphine 단독투여보다 진통효과가 감소된다.
dentist,"감염 발생 전, 후 변화가 가장 적은 활력징후는?",Choice 2,체온,혈압,맥박수,호흡수,호흡용량
nurse,조증상태에 있는 환자가 “지금 너무 바빠서 밥 먹을 시간이없어요.”라며 음식을 먹지 않고 계속 돌아다닌다. 간호중재로 옳은 것은?,Choice 4,식사를 거부하면 간식을 금지한다.,식사의 중요성을 자세하게 설명한다.,식사를 거부하면 억제대를 적용한다.,움직이면서 먹을 수 있는 음식을 제공한다.,환자가 안정될 때까지 식사를 제공하지 않는다.
doctor,"45세 여자가 3일 전부터 계속 불안하다며 병원에 왔다. 어젯밤에는 불안해서 한숨도 못 잤다고 했다. 진료 중에도 계속 초조하다며 안절부절못했다. 이렇게 심한 불안은 평생 처음이라고 한다. 지난 1년 동안 잠을 자려고 알프라졸람과 트리아졸람을 복용해오다가 대장내시경검사를 받으려고 4일 전부터 약을 중단했다고 한다. 혈압 150/90 mmHg, 맥박 110회/분, 호흡 20회/분, 체온 36.5℃이다. 우선적인 치료는?",Choice 2,리튬,디아제팜,부스피론,부프로피온,할로페리돌
nurse,자동차 사고를 예방하기 위해 영아를 자동차에 앉히는 방법으로 옳은 것은?,Choice 3,어머니가 조수석에 앉아서 영아를 무릎에 앉힌다.,자동차 뒷좌석에 앉히고 안전띠를 X자 모양으로 착용시킨다.,자동차 뒷좌석에 자동차 후면을 바라보게 장착한 카시트에 앉힌다.,자동차 뒷좌석에 자동차 전면을 바라보게 장착한 카시트에 앉힌다.,자동차 앞좌석에 자동차 후면을 바라보게 장착한 카시트에 앉힌다.
dentist,Piaget의 인지발달 단계 중 대상영속성(object permanence) 개념은 어느 시기에 획득되는가?,Choice 2,전조작기,감각운동기,형식적조작기,구체적조작기,신뢰적조작기
